,id,date,type,value,elo,avg_brightness,avg_entropy,avg_hm,img,title
45,1591721298-8800,1889-10-01,valence,0.543673146275,71.0198462693,120.76923726248137,20.869000370571435,11.036496237435813,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg/1024px-%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg,"The Man is at Sea, after Demont-Breton"
46,1591721298-8800,1889-10-01,creativity,0.6084283019160001,170.449993021,120.76923726248137,20.869000370571435,11.036496237435813,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg/1024px-%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg,"The Man is at Sea, after Demont-Breton"
47,1591721298-8800,1889-10-01,cohesivity,0.445429707425,-73.228105231,120.76923726248137,20.869000370571435,11.036496237435813,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg/1024px-%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg,"The Man is at Sea, after Demont-Breton"
48,1591721298-8582,1888-05-01,valence,0.57152722426,81.4700929768,175.11705920161037,20.803334916970886,8.456282786765469,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/The_Langlois_Bridge_at_Arles_-_My_Dream.jpg/1024px-The_Langlois_Bridge_at_Arles_-_My_Dream.jpg,Langlois Bridge at Arles
49,1591721298-8582,1888-05-01,creativity,0.582948286025,103.054042311,175.11705920161037,20.803334916970886,8.456282786765469,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/The_Langlois_Bridge_at_Arles_-_My_Dream.jpg/1024px-The_Langlois_Bridge_at_Arles_-_My_Dream.jpg,Langlois Bridge at Arles
50,1591721298-8582,1888-05-01,cohesivity,0.6852223715719999,304.754409868,175.11705920161037,20.803334916970886,8.456282786765469,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/The_Langlois_Bridge_at_Arles_-_My_Dream.jpg/1024px-The_Langlois_Bridge_at_Arles_-_My_Dream.jpg,Langlois Bridge at Arles
51,1591721298-8582,1888-05-01,arousal,0.6073833646869999,112.16584645799999,175.11705920161037,20.803334916970886,8.456282786765469,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/The_Langlois_Bridge_at_Arles_-_My_Dream.jpg/1024px-The_Langlois_Bridge_at_Arles_-_My_Dream.jpg,Langlois Bridge at Arles
52,1591721298-8758,1889-07-01,valence,0.658981860119,232.079075551,98.11191212391441,20.870569814155747,6.1190253773537275,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg/1024px-Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg,Tree Trunks with Ivy
53,1591721298-8758,1889-07-01,creativity,0.550793929835,60.525363626899995,98.11191212391441,20.870569814155747,6.1190253773537275,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg/1024px-Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg,Tree Trunks with Ivy
54,1591721298-8758,1889-07-01,cohesivity,0.404075845208,-123.574402651,98.11191212391441,20.870569814155747,6.1190253773537275,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg/1024px-Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg,Tree Trunks with Ivy
55,1591721298-8758,1889-07-01,arousal,0.49387111067,11.1707372047,98.11191212391441,20.870569814155747,6.1190253773537275,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg/1024px-Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg,Tree Trunks with Ivy
56,1591721298-8768,1889-09-01,cohesivity,0.5001729631399999,1.58041708567,160.91843859814256,20.858531930756435,2.7995593306963777,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg,Self-Portrait
57,1591721298-8768,1889-09-01,creativity,0.598443479082,141.96701295100002,160.91843859814256,20.858531930756435,2.7995593306963777,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg,Self-Portrait
58,1591721298-8768,1889-09-01,valence,0.5054585372739999,16.9425201985,160.91843859814256,20.858531930756435,2.7995593306963777,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg,Self-Portrait
59,1591721298-8768,1889-09-01,arousal,0.529583700115,38.4854592852,160.91843859814256,20.858531930756435,2.7995593306963777,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg,Self-Portrait
60,1591721298-8264,1885-07-01,cohesivity,0.622728674217,181.933977907,136.4559311007861,20.73356580583679,3.8160743050824704,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg/1024px-Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg,Peasant Woman Sitting on a Chair
61,1591721298-8264,1885-07-01,valence,0.422944574929,-107.88298509100001,136.4559311007861,20.73356580583679,3.8160743050824704,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg/1024px-Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg,Peasant Woman Sitting on a Chair
62,1591721298-8264,1885-07-01,arousal,0.45130703331999994,-36.4876835013,136.4559311007861,20.73356580583679,3.8160743050824704,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg/1024px-Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg,Peasant Woman Sitting on a Chair
63,1591721298-8264,1885-07-01,creativity,0.466292822483,-36.026763593000005,136.4559311007861,20.73356580583679,3.8160743050824704,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg/1024px-Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg,Peasant Woman Sitting on a Chair
64,1591721298-8221,1885-03-01,cohesivity,0.40208089427199994,-153.318117254,43.783646735030175,19.029106133062253,1.5513240080846618,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg/1024px-Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg,Peasant Woman Darning Stockings
65,1591721298-8221,1885-03-01,creativity,0.448047830185,-41.915445414699995,43.783646735030175,19.029106133062253,1.5513240080846618,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg/1024px-Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg,Peasant Woman Darning Stockings
